,road,county,city,state
73,Casitas Bulevar,Santa Clara County,,California
74,Bellevue Road,Merced County,Atwater,California
75,South Manhattan Place,Los Angeles County,Los Angeles,California
76,Webster Avenue,Los Angeles County,Long Beach,California
77,Cherry Lane,Contra Costa County,,California
78,Mobray Way,Monterey County,Salinas,California
79,South Garey Avenue,Los Angeles County,Pomona,California
80,Pollyanna Terrace,San Diego County,Vista,California
81,Winchester Avenue,Los Angeles County,Glendale,California
82,Golf Course Drive,Sonoma County,,California
83,Improv Alley,Sacramento County,Sacramento,California
84,Van Ness Avenue,Santa Cruz County,Santa Cruz,California
85,The Alameda,Alameda County,Berkeley,California
86,Fairview Fire Road,Ventura County,Thousand Oaks,California
87,Robertson Avenue,Alameda County,,California
88,Cleveland Avenue,Sacramento County,Sacramento,California
89,Laguna Woods Drive,Orange County,,California
90,,San Bernardino County,,California
91,Elkhorn Boulevard,Sacramento County,,California
92,Friars Road,San Diego County,San Diego,California
93,Meacham Road,Kern County,Bakersfield,California
94,,Orange County,Anaheim,California
95,Fair Oaks Drive,Nevada County,,California
96,Anita Street,San Joaquin County,Stockton,California
97,Spyglass Court,San Bernardino County,,California
98,Del Monte Road,San Mateo County,,California
99,North Olive Avenue,Stanislaus County,Turlock,California
100,Mulberry Drive,Los Angeles County,,California
101,South China Lake Boulevard,Kern County,,California
102,Maricopa Street,Los Angeles County,Torrance,California
103,Sperry Drive,San Bernardino County,,California
104,I Street,Humboldt County,Eureka,California
105,Napa Road,Sonoma County,,California
106,Knox Place,Orange County,Costa Mesa,California
107,Lincoln Street,Humboldt County,,California
108,Union Square,Alameda County,,California
109,West 37th Place,Los Angeles County,Los Angeles,California
110,East C Street,Stanislaus County,Oakdale,California
111,,Napa County,,California
112,Calle Pintada,Santa Clara County,San Jose,California
113,Valencia Street,,San Francisco,California
114,Menlo Avenue,Los Angeles County,Los Angeles,California
115,Mount Eden Street,Orange County,,California
116,Camp Nine Bypass,Calaveras County,,California
117,San Diego Creek Trail,Orange County,Irvine,California
118,Aqua Lane,San Diego County,,California
119,Gunther Road,San Bernardino County,,California
120,Madrona Leaf Court,Nevada County,,California
121,Bayside Drive,Orange County,Newport Beach,California
122,Baldwin Street,Los Angeles County,Los Angeles,California
123,Telfair Avenue,Los Angeles County,Los Angeles,California
124,Burchell Avenue,Santa Clara County,San Jose,California
125,Aero Drive,San Diego County,San Diego,California
126,Lewis Avenue,Los Angeles County,Long Beach,California
127,Rose Avenue,Kern County,Taft,California
128,Terilyn Avenue,Santa Clara County,San Jose,California
129,West Keats Avenue,Fresno County,Fresno,California
130,Aloha Street,Tehama County,,California
131,North Pacific Avenue,San Joaquin County,Stockton,California
132,West Orange Street,San Bernardino County,San Bernardino,California
133,Chestnut Street,,San Francisco,California
134,Aetna Street,Los Angeles County,Los Angeles,California
135,Carrera Drive,Marin County,,California
136,North Lyon Avenue,Riverside County,,California
137,S Street,Sacramento County,Sacramento,California
138,Evelyn Lane,Merced County,,California
139,,Napa County,,California
140,Calle Salsipuedes,Riverside County,,California
141,Sampson Street,Riverside County,Corona,California
142,13th Street,San Bernardino County,,California
143,,Alameda County,,California
144,Buchanan Street,Los Angeles County,Los Angeles,California
145,Buena Vista Street,Ventura County,,California
146,Arcane Street,Ventura County,Simi Valley,California
147,,Nevada County,,California
148,North Pebble Boulevard,Kern County,,California
149,South Burlington Avenue,Los Angeles County,Los Angeles,California
150,Paradise Park Drive,San Diego County,,California
151,Sunrise Avenue,Madera County,Madera,California
152,Heron Circle,Orange County,,California
153,Exeter Street,Los Angeles County,,California
154,West Chanslor Way,Riverside County,,California
155,Little Chico Creek,Butte County,Chico,California
156,Plymouth Street,Alameda County,Oakland,California
157,Huston Street,Los Angeles County,Los Angeles,California
158,Ventura Boulevard,Los Angeles County,Los Angeles,California
159,Redhawk Circle,Stanislaus County,Turlock,California
160,Freeport Boulevard,Sacramento County,Sacramento,California
161,South L Street,San Bernardino County,San Bernardino,California
162,Kiser Drive,Santa Clara County,San Jose,California
163,Merrywood Drive,Santa Clara County,San Jose,California
164,Esperanza Street,Los Angeles County,Los Angeles,California
165,Old City Creek Road/ Forest Road 1N09,San Bernardino County,,California
166,East Belmont Avenue,Fresno County,Fresno,California
167,Timber View Court,Ventura County,,California
168,Alder Hill Road,Nevada County,,California
169,Greenacres Road,Humboldt County,,California
170,La Mirada Drive,Kern County,Bakersfield,California
171,Alemany Boulevard,,San Francisco,California
172,Santa Monica Boulevard,Los Angeles County,Santa Monica,California
173,Brookhurst Street,Orange County,Anaheim,California
174,Saint Clair Avenue,Los Angeles County,Los Angeles,California
175,Elk Grove Boulevard,Sacramento County,Elk Grove,California
176,Moore Street,Los Angeles County,Los Angeles,California
177,West 58th Street,Los Angeles County,Los Angeles,California
178,West El Camino Street,Santa Barbara County,Santa Maria,California
179,Rebel Way,Santa Clara County,San Jose,California
180,West 3rd Street,Los Angeles County,Los Angeles,California
181,Canehill Avenue,Los Angeles County,Long Beach,California
182,Chestnut Street,Santa Cruz County,Santa Cruz,California
183,Guadalupe Drive,San Bernardino County,,California
184,Priam Drive,Los Angeles County,,California
185,,Monterey County,,California
186,R Street,Humboldt County,Eureka,California
187,Venado Way,Santa Clara County,San Jose,California
188,Elmfield Avenue,Los Angeles County,Long Beach,California
189,San Vincente Avenue,Los Angeles County,South Gate,California
190,Gardendale Street,Los Angeles County,Downey,California
191,El Camino Real,San Luis Obispo County,San Luis Obispo,California
192,West Standley Street,Mendocino County,,California
193,,Monterey County,,California
194,Patricia Avenue,San Mateo County,San Mateo,California
195,West Mabel Avenue,Los Angeles County,,California
196,Bion Way,Riverside County,,California
197,Robertson Park Road,Alameda County,,California
198,Skyline Boulevard,San Mateo County,Daly City,California
199,,Kern County,,California
200,la Paz Drive,Los Angeles County,Los Angeles,California
201,Filbert Street,,San Francisco,California
202,Kemper Street,Los Angeles County,Los Angeles,California
203,Victoria Avenue,San Mateo County,,California
204,Dawes Avenue,San Joaquin County,,California
205,Newton Road,San Joaquin County,,California
206,18th Street,Sacramento County,Sacramento,California
207,Brookdale Avenue,Santa Clara County,Mountain View,California
208,Brucker Road,Ventura County,Oxnard,California
209,,Solano County,,California
210,,Ventura County,,California
211,Crosby Lane,Riverside County,,California
212,Easy Avenue,Los Angeles County,Long Beach,California
213,Metate Trail,El Dorado County,,California
214,West Doublegrove Street,Los Angeles County,West Covina,California
215,Fawn Hill Lane,Placer County,,California
216,Liberty Boulevard,Los Angeles County,South Gate,California
217,Princevalle Street,Santa Clara County,Gilroy,California
218,Allen Street,Contra Costa County,,California
219,Long Beach International Gateway,Los Angeles County,Long Beach,California
220,West Lomita Avenue,Los Angeles County,Glendale,California
221,Traverse Street,Shasta County,Redding,California
222,Monterey Bay Coastal Trail,Monterey County,,California
223,North Imperial Avenue,Imperial County,,California
224,Crane Court,Solano County,Vacaville,California
225,East 115th Street,Los Angeles County,Los Angeles,California
226,Avocado Highway,San Diego County,Escondido,California
227,Newmark Avenue,Los Angeles County,,California
228,Fulbright Avenue,San Bernardino County,,California
229,Quigley Street,Alameda County,Oakland,California
230,Cotorro Road,San Diego County,San Diego,California
231,Calle Ingeniero Fernando Sánchez Ayala,Municipio de Tijuana,Tijuana,Baja California
232,East Madison Avenue,San Diego County,El Cajon,California
233,,Glenn County,,California
234,Gain Street,Los Angeles County,Los Angeles,California
235,,Siskiyou County,,California
236,Calera Creek Heights Drive,Santa Clara County,Milpitas,California
237,South Locust Circle,Los Angeles County,,California
238,El Gavilan Court,Contra Costa County,,California
239,Vancouver Drive,Orange County,Anaheim,California
240,Spry Street,Los Angeles County,Norwalk,California
241,Clay Street,,San Francisco,California
242,Contra Costa Canal Trail,Contra Costa County,Pleasant Hill,California
243,Treehenge Lane,Nevada County,,California
244,,Yolo County,,California
245,North Briggs Road,Ventura County,,California
246,Cliff Road,Nevada County,,California
247,Old Foothill Boulevard,Orange County,Orange,California
248,Juliesse Avenue,Sacramento County,Sacramento,California
249,Kaski Lane,Contra Costa County,Concord,California
250,Barry Avenue,Los Angeles County,Los Angeles,California
251,East Yale Street,San Bernardino County,Ontario,California
252,Los Olivos Lane,Los Angeles County,Glendale,California
253,Cerritos Avenue,Orange County,Cypress,California
254,,Imperial County,,California
255,64th Street,Sacramento County,Sacramento,California
256,Downey Avenue,Los Angeles County,Downey,California
257,Manhattan Place,Los Angeles County,,California
258,Wildcat Road,Merced County,,California
259,Fairfield Drive,Merced County,Merced,California
260,Rivera Street,Ventura County,Simi Valley,California
261,Canton Street,Los Angeles County,Long Beach,California
262,Shasta Court,Solano County,,California
263,Harwood Street,San Diego County,San Diego,California
264,Monte Vista Drive,Yolo County,,California
265,Promenade Street,Ventura County,Simi Valley,California
266,Redwing,Orange County,Irvine,California
267,Sun Maiden Way,Sacramento County,,California
268,Bruceville Road,Sacramento County,Sacramento,California
269,Chestnut Street,Riverside County,Riverside,California
270,Almaden Expressway,Santa Clara County,San Jose,California
271,Ivy Lane,San Diego County,,California
272,,Riverside County,,California
273,Bannister Road,Sacramento County,,California
274,Topper Lane,San Diego County,El Cajon,California
275,Fontana Avenue,San Diego County,San Diego,California
276,Sequoias Trail,San Mateo County,,California
277,Gale Avenue,Los Angeles County,,California
278,Valencia Avenue,Los Angeles County,El Monte,California
279,East Almont Avenue,Orange County,Anaheim,California
280,Sebastopol Road,Sonoma County,Santa Rosa,California
281,Trail 01;East Perimeter Road,Monterey County,,California
282,Carey Drive,Contra Costa County,Concord,California
283,North Valley Drive,Los Angeles County,,California
284,,Contra Costa County,,California
285,Carnell Street,Los Angeles County,,California
286,Melendy Drive,San Mateo County,,California
287,Eldrest Street,Los Angeles County,,California
288,Chico Avenue,Los Angeles County,El Monte,California
289,Via Bolsa,Alameda County,,California
290,,Riverside County,,California
291,North Hicks Avenue,Los Angeles County,,California
292,Annik Drive,Orange County,Huntington Beach,California
293,Ravenscourt Avenue,Santa Clara County,,California
294,Noakes Street,Los Angeles County,,California
295,State Street,San Bernardino County,Pomona,California
296,Romer Boulevard,El Dorado County,,California
297,Maple Avenue,Los Angeles County,Torrance,California
298,Crystyl Ranch Drive,Contra Costa County,Concord,California
299,Wegis Avenue,Kern County,,California
300,Madrone Street,Mendocino County,Fort Bragg,California
301,Jones Lane,Butte County,,California
302,Hugo Road,Orange County,,California
303,,Kern County,Bakersfield,California
304,San Bernardo Terrace,San Diego County,San Diego,California
305,East Date Street,Imperial County,,California
306,Pony Cross Road,Los Angeles County,,California
307,Meridian Avenue,Los Angeles County,Los Angeles,California
308,Shoreline Beach Bike Path,Los Angeles County,Long Beach,California
309,South Mary Avenue,Santa Clara County,Sunnyvale,California
310,Drayton Drive,Sacramento County,,California
311,Hermosa Way,San Luis Obispo County,San Luis Obispo,California
312,San Mateo Avenue,San Mateo County,South San Francisco,California
313,North Vallejo Way,San Bernardino County,,California
314,Cumpston Street,Los Angeles County,Los Angeles,California
315,166th Street,Los Angeles County,,California
316,Michigan Avenue,Los Angeles County,Los Angeles,California
317,Arbor Street,Los Angeles County,Pasadena,California
318,32nd Avenue,,San Francisco,California
319,Margaret Fleming Nature Trail,San Diego County,San Diego,California
320,Westway Drive,San Diego County,San Diego,California
321,Plumas Avenue,Butte County,,California
322,Telegraph Road,Ventura County,Ventura,California
323,,Los Angeles County,Palmdale,California
324,California Avenue,Los Angeles County,,California
325,Haines Street,San Diego County,San Diego,California
326,Calle Granada,Los Angeles County,,California
327,West Washington Boulevard,Los Angeles County,Los Angeles,California
328,Omer Rains Coastal Bike Trail,Ventura County,Ventura,California
329,Talbot Drive,Los Angeles County,,California
330,Greene Street,San Diego County,San Diego,California
331,Glenoaks Boulevard North,Los Angeles County,Glendale,California
332,East De la Guerra Street,Santa Barbara County,Santa Barbara,California
333,Jasmine Avenue,Orange County,Newport Beach,California
334,Farnsworth Street,Alameda County,,California
335,Mayfield Avenue,Los Angeles County,Glendale,California
336,Crescent Drive,Kern County,Bakersfield,California
337,West 20th Street,Orange County,Santa Ana,California
338,Norwood Street,San Bernardino County,,California
339,East Bellevue Road,Merced County,Atwater,California
340,Racquet Club Circle,Sonoma County,,California
341,Newport Avenue,San Diego County,San Diego,California
342,Hagiwara Tea Garden Drive,,San Francisco,California
343,North Shoreline Boulevard,Santa Clara County,Mountain View,California
344,Spreckles Lane,Los Angeles County,,California
345,Jack L. Burgi Trail,Marin County,,California
346,Burton Avenue,Los Angeles County,,California
347,Athol Street,Los Angeles County,Baldwin Park,California
348,Pima Street,El Dorado County,,California
349,University Avenue,Santa Clara County,Mountain View,California
350,Bellwood Court,Alameda County,Fremont,California
351,Carson View Drive,Mono County,,California
352,East 57th Street,Los Angeles County,Los Angeles,California
353,Seeman Drive,San Diego County,,California
354,Road 16,Madera County,Chowchilla,California
355,West 168th Street,Los Angeles County,Carson,California
356,McIntosh Drive,Riverside County,,California
357,Blackhawk Drive,Santa Clara County,Sunnyvale,California
358,Lynoak Drive,Los Angeles County,,California
359,North Normandie Street,Kings County,Hanford,California
360,Jim Drive,Santa Clara County,San Jose,California
361,West 14th Street,Merced County,Merced,California
362,Glenoaks Boulevard,Los Angeles County,Glendale,California
363,Orange Avenue,Alameda County,,California
364,Moorpark Street,Los Angeles County,Los Angeles,California
365,Railroad Canyon Road,Riverside County,Lake Elsinore,California
366,East Adams Avenue,Fresno County,,California
367,East Florence Avenue,Los Angeles County,Inglewood,California
368,East 10th Street,Los Angeles County,Long Beach,California
369,East Evelyn Avenue,Santa Clara County,Sunnyvale,California
370,Jasmine Avenue,Orange County,Newport Beach,California
371,Parmelee Avenue,Los Angeles County,,California
372,Farralone Avenue,Los Angeles County,Los Angeles,California
373,Nilda Avenue,Santa Clara County,Mountain View,California
374,Two Mile Road,San Bernardino County,,California
375,Plainview Circle,Orange County,,California
376,Rose Garden Court,Stanislaus County,Modesto,California
377,,,San Francisco,California
378,177th Street,Los Angeles County,,California
379,30th Street,San Diego County,San Diego,California
380,40th Street,San Diego County,San Diego,California
381,West 66th Street,Los Angeles County,Los Angeles,California
382,Cabrillo Avenue,Los Angeles County,Norwalk,California
383,East Anaheim Street,Los Angeles County,Los Angeles,California
384,,Fresno County,,California
385,,Los Angeles County,Los Angeles,California
386,Crest Drive,Kern County,Bakersfield,California
387,Kearney Street,Contra Costa County,,California
388,Meadowview Road,Sacramento County,Sacramento,California
389,Gannet Street,Riverside County,Eastvale,California
390,Road 176,Tulare County,,California
391,Browns Canyon Road,Los Angeles County,,California
392,West Fern Drive,Orange County,,California
393,East Princeton Street,San Bernardino County,Ontario,California
394,Junipero Street,Monterey County,,California
395,Via del Puma,Orange County,Yorba Linda,California
396,Pilgrim Avenue,Kern County,Taft,California
397,South Oakland Avenue,Los Angeles County,Pasadena,California
398,Willow Street,Santa Clara County,San Jose,California
399,Horley Avenue,Los Angeles County,Downey,California
400,Sunrise Parkway,Riverside County,Palm Springs,California
401,,Shasta County,,California
402,Skyview Drive,Placer County,,California
403,Martin Luther King Junior Freeway,San Diego County,San Diego,California
404,Holly Road,San Diego County,,California
405,Summerhome Park Road,Sonoma County,,California
406,Cherry Lane,Kern County,,California
407,Camino Lago Vista,San Diego County,,California
408,,Fresno County,,California
409,West Washington Boulevard,Los Angeles County,Los Angeles,California
410,Pine Street,Shasta County,,California
411,South Towner Street,Orange County,Santa Ana,California
412,Monaco,Orange County,Newport Beach,California
413,North Main Street,Kern County,,California
414,Foster City Levee,San Mateo County,,California
415,Ravine Road,San Bernardino County,Big Bear Lake,California
416,Sylvia Street,San Diego County,,California
417,Sargents Road,Monterey County,,California
418,Sweetbriar Lane,Butte County,,California
419,Durfee Avenue,Los Angeles County,,California
420,Barkeath Drive,San Diego County,,California
421,South Oak Park Boulevard,San Luis Obispo County,Grover Beach,California
422,Grange Avenue,San Joaquin County,Stockton,California
423,Camino Sin Puente,San Diego County,,California
424,Rancho Viejo Road,Orange County,,California
425,South Berkeley Avenue,Los Angeles County,,California
426,5th Avenue,,San Francisco,California
427,Miralinda Drive,Los Angeles County,,California
428,Rodriguez Street,Santa Cruz County,,California
429,Shearwater Road,Alameda County,,California
430,East Side Boulevard,Los Angeles County,Los Angeles,California
431,Moonbeam Drive,Sacramento County,,California
432,Promenade Street,Ventura County,Simi Valley,California
433,Caselli Avenue,,San Francisco,California
434,Elmfield Avenue,Los Angeles County,Long Beach,California
435,Foothill Freeway,Los Angeles County,,California
436,West 5th Street,Los Angeles County,Los Angeles,California
437,North 7th Street,Fresno County,,California
438,Gird Road,San Diego County,,California
439,Keefer Road,Butte County,,California
440,N Street,Fresno County,Fresno,California
441,Towne Street,Riverside County,Indio,California
442,Chestnut Street,Orange County,,California
443,Jube Wright Court,San Diego County,San Diego,California
444,,Los Angeles County,,California
445,West 64th Place,Los Angeles County,Inglewood,California
446,Pershing Avenue,Sacramento County,,California
447,Overcrest Drive,San Bernardino County,,California
448,Mont Eagle Place,Los Angeles County,Los Angeles,California
449,Otilla Street,San Bernardino County,,California
450,East Laurel Avenue,Fresno County,Fresno,California
451,Ventura Boulevard,Los Angeles County,Los Angeles,California
452,Keating Road,Sacramento County,,California
453,Parkington Avenue,Santa Clara County,Sunnyvale,California
454,South Tremaine Avenue,Los Angeles County,Los Angeles,California
455,Paulson Road,Merced County,Merced,California
456,Pinewood Road,Santa Barbara County,,California
457,Lynn Drive,Ventura County,Ventura,California
458,Edes Avenue,Alameda County,Oakland,California
459,Algiers Avenue,Sonoma County,Santa Rosa,California
460,Morse Avenue,Santa Clara County,Sunnyvale,California
461,6th Avenue,El Dorado County,,California
462,Torrell Way,San Diego County,San Diego,California
463,Walnut Fair Circle,Sacramento County,,California
464,Normandie Avenue,Los Angeles County,Los Angeles,California
465,Juniper Street,San Diego County,San Diego,California
466,East Nelson Avenue,Los Angeles County,City of Industry,California
467,,Ventura County,,California
468,Tilden Avenue,Los Angeles County,Los Angeles,California
469,Hawthorne Road,Contra Costa County,,California
470,3rd Court,Los Angeles County,Santa Monica,California
471,Golden Hill Drive,San Diego County,San Diego,California
472,Tejon Way,Sacramento County,,California
473,Arthur Street,Yuba County,,California
474,Sugar Hill Road,Riverside County,Moreno Valley,California
475,West Zane Street,Los Angeles County,Long Beach,California
476,Galveston Street,San Diego County,San Diego,California
477,Miller Road,Los Angeles County,,California
478,Blosser Lane,Mendocino County,,California
479,North G Street,San Bernardino County,San Bernardino,California
480,Lemon Crest Drive,San Diego County,,California
481,East Princeton Street,San Bernardino County,Ontario,California
482,Corte Emparrado,San Diego County,San Diego,California
483,Calhoun Street,Riverside County,,California
484,Lull Street,Los Angeles County,Los Angeles,California
485,East 6th Street,San Bernardino County,San Bernardino,California
486,Anita Street,San Joaquin County,Stockton,California
487,Sinclair Avenue,Riverside County,Riverside,California
488,Technology Drive,Stanislaus County,,California
489,Baker Avenue,San Bernardino County,Ontario,California
490,Hereford Drive,Los Angeles County,,California
491,West 24th Street,San Bernardino County,,California
492,East Florence Avenue,Fresno County,Fresno,California
493,River Drive,San Joaquin County,Stockton,California
494,Normandy Drive,Kern County,,California
495,Morgan Road,San Bernardino County,San Bernardino,California
496,Garland Drive,Santa Clara County,Palo Alto,California
497,Elysian Park Drive,Los Angeles County,Los Angeles,California
498,Bryce Road,Los Angeles County,El Monte,California
499,North Cerritos Avenue,Los Angeles County,,California
500,Tequesquite Avenue,Riverside County,Riverside,California
501,Bandera Street,Los Angeles County,Los Angeles,California
502,Bishop Avenue,Santa Clara County,Sunnyvale,California
503,30th Street,San Diego County,San Diego,California
504,Coronado Avenue,San Diego County,San Diego,California
505,Primrose Road,San Mateo County,,California
506,Highland Court,Santa Clara County,Santa Clara,California
507,Kirkwood Avenue,Monterey County,Salinas,California
508,South Halladay Street,Orange County,Santa Ana,California
509,East Hedges Avenue,Fresno County,Fresno,California
510,66th Street,Alameda County,Berkeley,California
511,Santa Fe Road,Merced County,Merced,California
512,Long Beach Freeway,Los Angeles County,Long Beach,California
513,Casci Road,Nevada County,,California
514,Newport Avenue,San Bernardino County,Highland,California
515,Bradford Street,,San Francisco,California
516,Tall Timber Lane,Shasta County,,California
517,82nd Avenue,Alameda County,Oakland,California
518,Easy Avenue,Los Angeles County,Long Beach,California
519,Live Oak Road,Placer County,,California
520,West 77th Street,Los Angeles County,Los Angeles,California
521,Canyon View Drive,Santa Clara County,,California
522,Lincoln Avenue,Stanislaus County,Modesto,California
523,Santa Buena Way,Sacramento County,Sacramento,California
524,Grenola Drive,Contra Costa County,Concord,California
525,University Avenue,San Diego County,San Diego,California
526,Palm Drive,Kern County,,California
527,Nepo Drive,Santa Clara County,San Jose,California
528,Park Avenue,Los Angeles County,Long Beach,California
529,Rosemead Boulevard,Los Angeles County,El Monte,California
530,Backbone Trail,Los Angeles County,,California
531,Railyards Boulevard,Sacramento County,Sacramento,California
532,Condon Avenue,Los Angeles County,,California
533,Alemany Boulevard,,San Francisco,California
534,Saraglen Drive,Santa Clara County,,California
535,Hamblett Road,Imperial County,,California
536,,San Bernardino County,,California
537,El Vuelo,Orange County,San Clemente,California
538,West 257th Street,Los Angeles County,,California
539,Walters Road,Solano County,Suisun City,California
540,Vaseline alley,Los Angeles County,,California
541,Foster Road,Los Angeles County,Norwalk,California
542,Freeport Boulevard,Sacramento County,Sacramento,California
543,Terrace Way,Kern County,City of Bakersfield,California
544,South Juanita Avenue,Los Angeles County,Los Angeles,California
545,Lucille Avenue,Los Angeles County,Los Angeles,California
546,West Olive Avenue,Merced County,Merced,California
547,Valota Road,San Mateo County,Redwood City,California
548,Panorama Drive,Humboldt County,,California
549,Hillrose Street,Los Angeles County,Los Angeles,California
550,Marysville Road,Yuba County,,California
551,Beverly Glen Boulevard,Los Angeles County,Los Angeles,California
552,,Solano County,Fairfield,California
553,Point Lobos Avenue,,San Francisco,California
554,,Colusa County,,California
555,McClain Lane,Butte County,,California
556,Campton Road,Humboldt County,Eureka,California
557,Highland Oaks Drive,Alameda County,,California
558,West Lodi Avenue,San Joaquin County,Lodi,California
559,Clearpark Place,Santa Clara County,San Jose,California
560,West Manchester Avenue,Los Angeles County,Los Angeles,California
561,Amberly Circle,San Diego County,San Diego,California
562,Girard Ridge Road,Shasta County,,California
563,,Napa County,,California
564,Ikea Court,Yolo County,,California
565,Nina Way,Sacramento County,Sacramento,California
566,West 11th Street,San Bernardino County,San Bernardino,California
567,High Street,Merced County,Atwater,California
568,Palms Boulevard,Los Angeles County,Los Angeles,California
569,Van Valin Place,Stanislaus County,Modesto,California
570,South Hayes Avenue,Fresno County,,California
571,Palm Drive,Kern County,,California
572,Potomac Street,Riverside County,Riverside,California
573,Yerxa Road,Riverside County,,California
574,Caminito Empresa,San Diego County,,California
575,Verbena Court,Contra Costa County,Pleasant Hill,California
576,Alley ‎81003,Los Angeles County,Los Angeles,California
577,Filbert Street,,San Francisco,California
578,Paso Robles Highway,Kern County,,California
579,East Martin Luther King Junior Boulevard,Los Angeles County,Los Angeles,California
580,Hansen Way,Santa Clara County,Palo Alto,California
581,Chula Vista Street,San Diego County,Chula Vista,California
582,,Riverside County,,California
583,Meyer Road,Marin County,San Rafael,California
584,Laurel Avenue,San Diego County,Chula Vista,California
585,Sunland Vista Avenue,Sacramento County,Sacramento,California
586,Oxnard Street,Los Angeles County,Los Angeles,California
587,Monte Vista Drive,San Bernardino County,,California
588,,San Diego County,San Diego,California
589,Hilbar Lane,Santa Clara County,Palo Alto,California
590,Westminster Avenue,Orange County,Garden Grove,California
591,Columbia Street,Orange County,,California
592,Dalerose Avenue,Los Angeles County,Inglewood,California
593,Modoc Ditch Trail,Tulare County,Visalia,California
594,Tripoli Avenue,Los Angeles County,Los Angeles,California
595,Rock Spring Creek,San Benito County,,California
596,Dewey Drive,Orange County,Garden Grove,California
597,Mipaty Lane,Sacramento County,,California
598,3rd Avenue,Merced County,,California
599,Los Vaqueros Circle,Orange County,,California
600,Roseleaf Avenue,Orange County,,California
601,South Forest Street,Orange County,Santa Ana,California
602,North Sacramento Freeway,Sacramento County,Sacramento,California
603,Carleton Street,Alameda County,Berkeley,California
604,Norwood Avenue,Riverside County,Riverside,California
605,,San Diego County,,California
606,Pacific Coast Drive,Santa Barbara County,,California
607,Weaver Street,Los Angeles County,El Monte,California
608,Southgate Avenue,San Mateo County,Daly City,California
609,Guilitoy Avenue,San Diego County,San Diego,California
610,Creekview Court,Stanislaus County,Modesto,California
611,Junipero Serra Boulevard,San Mateo County,,California
612,Soquel Avenue,Santa Cruz County,Santa Cruz,California
613,Dewey Drive,Orange County,Garden Grove,California
